"","NumStation","alti","lat","lon","LonLB2","LatLB2"
"1",21473001,219,47.267,5.088,808161.500535477,2255559.37093092
"2",25462001,831,46.902,6.34,904877.337440669,2219107.06062014
"3",39050001,535,46.785,5.796,864050.907307104,2204148.01361631
"4",39275004,1120,46.39167,5.96,878574.268157949,2161039.36839977
"5",58062001,598,47.07,3.934,721317.340611746,2231249.92740612
"6",58160001,175,46.998,3.112,658973.833018252,2222305.02655075
"7",70006001,275,47.915,6.338,898995.184286449,2331572.32884481
"8",71105001,216,46.296,4.798,789607.851139989,2146953.36095299
"9",89387002,70,48.167,3.288,670785.753369268,2352413.78978281
